Testing
Get agent
model parameters: 
4056849
Setup GPU mode
Testing loop
         28797622 function calls (26579340 primitive calls) in 100.828 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5103    0.226    0.000    0.226    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
     1702    0.004    0.000    0.212    0.000 base64.py:65(b64decode)
     1701    0.208    0.000    0.208    0.000 {built-in method torch._C._cuda_synchronize}
     1702    0.204    0.000    0.204    0.000 {built-in method binascii.a2b_base64}
     1702    0.015    0.000    0.200    0.000 Image.py:2854(open)
  2106405    0.190    0.000    0.190    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.188    0.188 pyplot.py:19(<module>)
        1    0.000    0.000    0.187    0.187 _polygon.py:1(<module>)
        1    0.000    0.000    0.187    0.187 __init__.py:291(<module>)
      912    0.002    0.000    0.184    0.000 <__array_function__ internals>:2(polyfit)
      912    0.036    0.000    0.180    0.000 polynomial.py:429(polyfit)
     1702    0.014    0.000    0.169    0.000 Image.py:2919(_open_core)
     2280    0.004    0.000    0.169    0.000 sumprod.py:9(sum)
     1199    0.008    0.000    0.167    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     2280    0.080    0.000    0.163    0.000 {method 'sum' of 'cupy.core.core.ndarray' objects}
       12    0.000    0.000    0.160    0.013 __init__.py:3(<module>)
        1    0.000    0.000    0.156    0.156 greyreconstruct.py:11(<module>)
   331177    0.151    0.000    0.151    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
     1702    0.016    0.000    0.150    0.000 ImageFile.py:92(__init__)
     3648    0.145    0.000    0.149    0.000 {method 'get' of 'cupy.core.core.ndarray' objects}
    27231    0.039    0.000    0.143    0.000 conv.py:484(_output_padding)
        1    0.000    0.000    0.140    0.140 edges.py:11(<module>)
        1    0.000    0.000    0.135    0.135 agent.py:26(__init__)
   349296    0.096    0.000    0.134    0.000 linalg.py:112(isComplexType)
   234686    0.080    0.000    0.131    0.000 {built-in method builtins.isinstance}
     1702    0.023    0.000    0.127    0.000 PngImagePlugin.py:673(_open)
   273194    0.125    0.000    0.125    0.000 {built-in method builtins.iter}
2848/2702    0.043    0.000    0.125    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.122    0.122 hourglass_network.py:16(__init__)
    11908    0.020    0.000    0.121    0.000 <__array_function__ internals>:2(rollaxis)
     1199    0.002    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     1199    0.116    0.000    0.116    0.000 {built-in method marshal.loads}
        6    0.000    0.000    0.115    0.019 __init__.py:7(<module>)
        1    0.000    0.000    0.110    0.110 _cycle_spin.py:1(<module>)
        1    0.000    0.000    0.107    0.107 _peak_finding.py:3(<module>)
        1    0.000    0.000    0.107    0.107 __init__.py:390(<module>)
    28486    0.023    0.000    0.106    0.000 utils.py:6(parse)
      912    0.001    0.000    0.104    0.000 <__array_function__ internals>:2(lstsq)
     1701    0.015    0.000    0.104    0.000 util.py:287(sort_along_y)
      912    0.083    0.000    0.101    0.000 linalg.py:2170(lstsq)
        4    0.000    0.000    0.100    0.025 util_hourglass.py:271(__init__)
        1    0.000    0.000    0.099    0.099 serialization.py:448(load)
        1    0.001    0.001    0.099    0.099 serialization.py:549(_legacy_load)
        1    0.000    0.000    0.098    0.098 stats.py:164(<module>)
       20    0.000    0.000    0.095    0.005 compiler.py:345(compile_with_cache)
       20    0.001    0.000    0.095    0.005 compiler.py:379(_compile_with_cache_cuda)
        1    0.000    0.000    0.093    0.093 distributions.py:8(<module>)
   330173    0.093    0.000    0.093    0.000 {built-in method torch._C._get_cudnn_enabled}
      912    0.002    0.000    0.092    0.000 join.py:99(vstack)
   714618    0.092    0.000    0.092    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.089    0.089 delayed.py:1(<module>)
        1    0.000    0.000    0.087    0.087 __init__.py:106(<module>)
     1702    0.003    0.000    0.087    0.000 PngImagePlugin.py:879(load_prepare)
    11908    0.051    0.000    0.085    0.000 numeric.py:1218(rollaxis)
2251/1749    0.007    0.000    0.084    0.000 inspect.py:2198(_signature_from_callable)
      195    0.001    0.000    0.084    0.000 batchnorm.py:61(_load_from_state_dict)
     1702    0.004    0.000    0.083    0.000 ImageFile.py:288(load_prepare)
     1525    0.008    0.000    0.082    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     1622    0.001    0.000    0.082    0.000 inspect.py:3081(signature)
        1    0.000    0.000    0.082    0.082 compiler.py:305(_preprocess)
        1    0.000    0.000    0.082    0.082 compiler.py:549(compile)
        1    0.082    0.082    0.082    0.082 {built-in method cupy_backends.cuda.libs.nvrtc.compileProgram}
     1622    0.001    0.000    0.081    0.000 inspect.py:2829(from_callable)
     1702    0.079    0.000    0.079    0.000 {built-in method PIL._imaging.new}
        1    0.000    0.000    0.078    0.078 _continuous_distns.py:6(<module>)
  235/165    0.000    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
  235/165    0.019    0.000    0.077    0.000 {built-in method _imp.exec_dynamic}
        4    0.000    0.000    0.076    0.019 util_hourglass.py:183(__init__)
        1    0.000    0.000    0.075    0.075 colorbar.py:32(<module>)
      101    0.002    0.000    0.074    0.001 _distn_infrastructure.py:1653(__init__)
        1    0.006    0.006    0.069    0.069 {method 'load' of '_pickle.Unpickler' objects}
     1520    0.001    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      159    0.001    0.000    0.068    0.000 util_hourglass.py:21(__init__)
        1    0.000    0.000    0.068    0.068 _build_tlz.py:1(<module>)
1521/1520    0.004    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      912    0.001    0.000    0.067    0.000 join.py:37(concatenate)
      912    0.054    0.000    0.066    0.000 {built-in method cupy.core._routines_manipulation.concatenate_method}
        1    0.000    0.000    0.066    0.066 figure.py:9(<module>)
    37/19    0.000    0.000    0.060    0.003 __init__.py:109(import_module)
    37/19    0.000    0.000    0.060    0.003 <frozen importlib._bootstrap>:994(_gcd_import)
     4400    0.004    0.000    0.058    0.000 re.py:273(_compile)
       11    0.000    0.000    0.057    0.005 artist.py:1613(kwdoc)
     2319    0.014    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.057    0.057 agent.py:372(cuda)
        1    0.000    0.000    0.057    0.057 module.py:290(cuda)
   1213/1    0.006    0.000    0.057    0.057 module.py:199(_apply)
        1    0.000    0.000    0.056    0.056 filter_design.py:1(<module>)
        1    0.000    0.000    0.056    0.056 __init__.py:398(<module>)
     1702    0.056    0.000    0.056    0.000 {method 'join' of 'bytes' objects}
     8754    0.018    0.000    0.054    0.000 PngImagePlugin.py:151(read)
        3    0.000    0.000    0.053    0.018 functional.py:1(<module>)
      251    0.004    0.000    0.051    0.000 conv.py:18(__init__)
     3404    0.019    0.000    0.051    0.000 PngImagePlugin.py:183(call)
        2    0.000    0.000    0.051    0.026 __init__.py:25(<module>)
    29431    0.015    0.000    0.051    0.000 abc.py:137(__instancecheck__)
      229    0.001    0.000    0.051    0.000 sre_compile.py:759(compile)
        2    0.000    0.000    0.050    0.025 operator.py:1(<module>)
    13224    0.013    0.000    0.050    0.000 <__array_function__ internals>:2(min_scalar_type)
     1702    0.050    0.000    0.050    0.000 {built-in method from_numpy}
      361    0.018    0.000    0.049    0.000 doccer.py:10(docformat)
      200    0.000    0.000    0.049    0.000 operator.py:8(should_curry)
        1    0.000    0.000    0.049    0.049 _subplots.py:1(<module>)
      235    0.000    0.000    0.049    0.000 conv.py:323(__init__)
     4560    0.004    0.000    0.048    0.000 <__array_function__ internals>:2(take_along_axis)
  242/237    0.000    0.000    0.048    0.000 functoolz.py:821(_check_sigspec)
      117    0.001    0.000    0.047    0.000 _distn_infrastructure.py:766(_construct_doc)
     2313    0.001    0.000    0.044    0.000 re.py:234(compile)
   346560    0.044    0.000    0.044    0.000 linalg.py:2359(_norm_dispatcher)
      228    0.001    0.000    0.044    0.000 inspect.py:2101(_signature_from_builtin)
   346560    0.044    0.000    0.044    0.000 multiarray.py:706(dot)
       11    0.001    0.000    0.043    0.004 artist.py:1386(pprint_setters)
     1714    0.001    0.000    0.043    0.000 module.py:304(<lambda>)
  203/200    0.000    0.000    0.043    0.000 functoolz.py:862(num_required_args)
      228    0.004    0.000    0.043    0.000 inspect.py:1957(_signature_fromstr)
      195    0.000    0.000    0.042    0.000 batchnorm.py:79(__init__)
      195    0.003    0.000    0.042    0.000 batchnorm.py:18(__init__)
        1    0.000    0.000    0.041    0.041 __init__.py:82(<module>)
    62046    0.041    0.000    0.041    0.000 fromnumeric.py:71(<dictcomp>)
     4560    0.007    0.000    0.041    0.000 shape_base.py:56(take_along_axis)
        9    0.000    0.000    0.040    0.004 __init__.py:2(<module>)
     1714    0.005    0.000    0.040    0.000 serialization.py:649(persistent_load)
        1    0.000    0.000    0.040    0.040 contour.py:3(<module>)
       32    0.000    0.000    0.039    0.001 util_hourglass.py:65(__init__)
        1    0.000    0.000    0.038    0.038 binary.py:3(<module>)
     5350    0.012    0.000    0.037    0.000 PngImagePlugin.py:888(load_read)
    29431    0.036    0.000    0.036    0.000 {built-in method _abc._abc_instancecheck}
      251    0.001    0.000    0.035    0.000 conv.py:48(reset_parameters)
    18153    0.022    0.000    0.035    0.000 module.py:578(__setattr__)
     2672    0.019    0.000    0.034    0.000 inspect.py:613(cleandoc)
     1714    0.001    0.000    0.033    0.000 serialization.py:736(restore_location)
        1    0.000    0.000    0.033    0.033 _axes.py:1(<module>)
     1714    0.002    0.000    0.033    0.000 serialization.py:154(default_restore_location)
     4560    0.017    0.000    0.033    0.000 shape_base.py:29(_make_along_axis_idx)
     2387    0.002    0.000    0.031    0.000 inspect.py:594(getdoc)
      8/1    0.000    0.000    0.031    0.031 _build_tlz.py:53(exec_module)
     1714    0.031    0.000    0.031    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
     1714    0.006    0.000    0.031    0.000 serialization.py:130(_cuda_deserialize)
      912    0.002    0.000    0.031    0.000 order.py:10(amin)
        8    0.000    0.000    0.030    0.004 _build_tlz.py:14(_load_toolz)
     3402    0.015    0.000    0.029    0.000 lane_detection.py:31(denoise)
        1    0.000    0.000    0.029    0.029 hub.py:1(<module>)
      251    0.001    0.000    0.029    0.000 init.py:283(kaiming_uniform_)
      4/2    0.000    0.000    0.029    0.014 pyplot.py:216(switch_backend)
      229    0.001    0.000    0.029    0.000 sre_parse.py:913(parse)
   260454    0.029    0.000    0.029    0.000 {method 'append' of 'list' objects}
      912    0.028    0.000    0.029    0.000 {method 'min' of 'cupy.core.core.ndarray' objects}
      376    0.000    0.000    0.029    0.000 __init__.py:686(__getitem__)
        3    0.000    0.000    0.028    0.009 pyplot.py:276(backend_mod)
        1    0.000    0.000    0.027    0.027 operator.py:14(<dictcomp>)
        1    0.000    0.000    0.027    0.027 backend_qt5agg.py:3(<module>)
  605/229    0.002    0.000    0.027    0.000 sre_parse.py:411(_parse_sub)
     1701    0.027    0.000    0.027    0.000 {method 'view' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.027    0.027 _denoise.py:1(<module>)
        1    0.000    0.000    0.026    0.026 __init__.py:119(<module>)
  855/239    0.010    0.000    0.026    0.000 sre_parse.py:469(_parse)
      912    0.001    0.000    0.026    0.000 order.py:47(amax)
        1    0.000    0.000    0.026    0.026 collections.py:10(<module>)
        1    0.001    0.001    0.026    0.026 backend_qt5.py:1(<module>)
     1519    0.025    0.000    0.025    0.000 {method '_set_from_file' of 'torch._C.CudaFloatStorageBase' objects}
      228    0.003    0.000    0.025    0.000 inspect.py:1885(_signature_strip_non_python_syntax)
      912    0.001    0.000    0.025    0.000 <__array_function__ internals>:2(vander)
     1483    0.009    0.000    0.025    0.000 inspect.py:2117(_signature_from_function)
    13124    0.024    0.000    0.024    0.000 {method 'match' of 're.Pattern' objects}
      912    0.024    0.000    0.024    0.000 {method 'max' of 'cupy.core.core.ndarray' objects}
        1    0.000    0.000    0.024    0.024 figureoptions.py:6(<module>)
     1214    0.004    0.000    0.024    0.000 module.py:69(__init__)
      912    0.002    0.000    0.023    0.000 join.py:116(<listcomp>)
        1    0.000    0.000    0.023    0.023 qt_compat.py:14(<module>)
        1    0.000    0.000    0.023    0.023 qt_compat.py:72(_setup_pyqt5)
     1714    0.002    0.000    0.023    0.000 _utils.py:134(_rebuild_tensor_v2)
        1    0.000    0.000    0.023    0.023 _shgo.py:3(<module>)
        1    0.000    0.000    0.023    0.023 rcsetup.py:14(<module>)
      502    0.023    0.000    0.023    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
      101    0.001    0.000    0.023    0.000 operator.py:14(<genexpr>)
      912    0.011    0.000    0.022    0.000 twodim_base.py:473(vander)
      425    0.001    0.000    0.022    0.000 artist.py:1290(get_valid_values)
        1    0.000    0.000    0.022    0.022 __init__.py:94(<module>)
        1    0.000    0.000    0.022    0.022 util_hourglass.py:237(__init__)
        1    0.000    0.000    0.022    0.022 interpolation.py:31(<module>)
     1714    0.002    0.000    0.021    0.000 _utils.py:128(_rebuild_tensor)
        1    0.000    0.000    0.021    0.021 __init__.py:13(<module>)
     1446    0.005    0.000    0.021    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       12    0.001    0.000    0.021    0.002 artist.py:1337(get_setters)
