Testing
Get agent
model parameters: 
4056849
Setup GPU mode
Testing loop
         28797622 function calls (26579340 primitive calls) in 100.828 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      195    0.001    0.000    0.002    0.000 batchnorm.py:42(reset_running_stats)
      941    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.002    0.001 distributed.py:1(<module>)
        1    0.000    0.000    0.002    0.002 minpack.py:1(<module>)
   260/11    0.000    0.000    0.002    0.000 pyparsing.py:1647(_parseNoCache)
       81    0.000    0.000    0.002    0.000 abc.py:125(__new__)
       16    0.000    0.000    0.002    0.000 rcsetup.py:843(cycler)
        1    0.000    0.000    0.002    0.002 default_mappings.py:2(<module>)
     1129    0.001    0.000    0.002    0.000 module.py:203(compute_should_use_set_data)
        1    0.000    0.000    0.002    0.002 multiprocessing.py:1(<module>)
      195    0.002    0.000    0.002    0.000 {method '_set_from_file' of 'torch._C.CudaLongStorageBase' objects}
     1590    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
       54    0.000    0.000    0.002    0.000 deprecation.py:333(_delete_parameter)
    63/11    0.000    0.000    0.002    0.000 pyparsing.py:4049(parseImpl)
        2    0.000    0.000    0.002    0.001 compressed.py:1(<module>)
        1    0.000    0.000    0.002    0.002 util_hourglass.py:6(<module>)
      618    0.001    0.000    0.002    0.000 font_manager.py:962(_json_decode)
      325    0.000    0.000    0.002    0.000 pickle.py:738(save_str)
        1    0.000    0.000    0.002    0.002 threading.py:1(<module>)
     1702    0.002    0.000    0.002    0.000 Image.py:2834(_decompression_bomb_check)
    10212    0.002    0.000    0.002    0.000 Image.py:551(size)
        1    0.000    0.000    0.002    0.002 scimath.py:17(<module>)
        1    0.000    0.000    0.002    0.002 animation.py:19(<module>)
        1    0.000    0.000    0.002    0.002 cli.py:3(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:10(<module>)
        3    0.000    0.000    0.002    0.001 rnn.py:1(<module>)
        1    0.000    0.000    0.002    0.002 inspect.py:27(<module>)
       49    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      188    0.000    0.000    0.002    0.000 traceback.py:282(line)
        1    0.000    0.000    0.002    0.002 shutil.py:5(<module>)
     2021    0.001    0.000    0.002    0.000 grad_mode.py:37(__enter__)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
      288    0.000    0.000    0.002    0.000 scanner.py:113(check_token)
        1    0.000    0.000    0.002    0.002 __init__.py:32(__enter__)
     5792    0.001    0.000    0.002    0.000 inspect.py:2799(<genexpr>)
      913    0.002    0.000    0.002    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
        1    0.002    0.002    0.002    0.002 {built-in method posix.fork}
     1129    0.002    0.000    0.002    0.000 {built-in method _make_subclass}
       10    0.000    0.000    0.002    0.000 pyparsing.py:3140(__init__)
      251    0.000    0.000    0.002    0.000 init.py:74(uniform_)
      111    0.000    0.000    0.002    0.000 linecache.py:15(getline)
       18    0.000    0.000    0.002    0.000 rcsetup.py:437(validate_font_properties)
     4710    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
     2021    0.001    0.000    0.002    0.000 grad_mode.py:137(__init__)
        1    0.000    0.000    0.002    0.002 pyplot.py:2138(_setup_pyplot_info_docstrings)
        9    0.000    0.000    0.002    0.000 fontconfig_pattern.py:119(parse)
     8754    0.002    0.000    0.002    0.000 {method 'tell' of '_io.BytesIO' objects}
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
      282    0.000    0.000    0.002    0.000 function_base.py:451(add_newdoc)
      111    0.000    0.000    0.002    0.000 linecache.py:37(getlines)
        1    0.000    0.000    0.002    0.002 _linprog_ip.py:18(<module>)
      260    0.000    0.000    0.002    0.000 sre_parse.py:96(closegroup)
      754    0.001    0.000    0.002    0.000 pickle.py:441(memoize)
       72    0.000    0.000    0.002    0.000 dropout.py:8(__init__)
        1    0.000    0.000    0.002    0.002 legend.py:22(<module>)
     4710    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:855(__enter__)
      238    0.001    0.000    0.002    0.000 tokenize.py:350(detect_encoding)
      251    0.000    0.000    0.002    0.000 init.py:12(_no_grad_uniform_)
     1702    0.002    0.000    0.002    0.000 PngImagePlugin.py:146(__init__)
        1    0.000    0.000    0.002    0.002 TiffImagePlugin.py:41(<module>)
        3    0.000    0.000    0.002    0.001 patches.py:1867(pprint_styles)
        2    0.000    0.000    0.002    0.001 csc.py:1(<module>)
     2736    0.001    0.000    0.002    0.000 linalg.py:125(_realType)
   114/56    0.000    0.000    0.002    0.000 pyparsing.py:3970(<listcomp>)
       35    0.000    0.000    0.002    0.000 linecache.py:82(updatecache)
      480    0.000    0.000    0.002    0.000 module.py:175(add_module)
     1126    0.000    0.000    0.002    0.000 colors.py:124(_is_nth_color)
     1199    0.002    0.000    0.002    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
        8    0.000    0.000    0.002    0.000 utils.py:1(<module>)
       16    0.000    0.000    0.002    0.000 _distn_infrastructure.py:2955(_attach_methods)
        2    0.000    0.000    0.002    0.001 __init__.py:19(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:192(<module>)
        1    0.000    0.000    0.002    0.002 parameters.py:6(<module>)
      357    0.000    0.000    0.002    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.002    0.002 dataloader.py:6(<module>)
     8184    0.001    0.000    0.002    0.000 {method 'add' of 'set' objects}
        1    0.002    0.002    0.002    0.002 parameters.py:10(Parameters)
        1    0.000    0.000    0.002    0.002 _regionprops.py:1(<module>)
       21    0.000    0.000    0.002    0.000 pyparsing.py:1518(setParseAction)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1283(_trim_arity)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
       24    0.000    0.000    0.001    0.000 pyparsing.py:1291(extract_stack)
       56    0.000    0.000    0.001    0.000 pyparsing.py:3901(<listcomp>)
       52    0.000    0.000    0.001    0.000 cloudpickle_fast.py:697(save_global)
        3    0.000    0.000    0.001    0.000 patches.py:1871(<listcomp>)
        1    0.000    0.000    0.001    0.001 mstats_basic.py:4(<module>)
      195    0.000    0.000    0.001    0.000 init.py:123(ones_)
        1    0.000    0.000    0.001    0.001 kl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 case.py:1(<module>)
       46    0.000    0.000    0.001    0.000 scanner.py:156(fetch_more_tokens)
        1    0.000    0.000    0.001    0.001 __init__.py:155(_check_versions)
        2    0.000    0.000    0.001    0.001 csr.py:1(<module>)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(linspace)
        1    0.000    0.000    0.001    0.001 colors.py:66(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:144(_lazy_call)
       26    0.000    0.000    0.001    0.000 _basic.py:16(_dispatch)
     1199    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 traceback.py:193(format_stack)
        1    0.000    0.000    0.001    0.001 numerictypes.py:81(<module>)
      195    0.000    0.000    0.001    0.000 init.py:22(_no_grad_fill_)
       26    0.000    0.000    0.001    0.000 _backend.py:93(generate_multimethod)
     1702    0.001    0.000    0.001    0.000 {method 'setimage' of 'ImagingEncoder' objects}
     1702    0.001    0.000    0.001    0.000 PngImagePlugin.py:176(close)
      169    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        1    0.000    0.000    0.001    0.001 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nonlin.py:106(<module>)
        1    0.000    0.000    0.001    0.001 hmac.py:4(<module>)
       30    0.001    0.000    0.001    0.000 function_base.py:23(linspace)
        1    0.000    0.000    0.001    0.001 selem.py:1(<module>)
     3428    0.001    0.000    0.001    0.000 serialization.py:716(_maybe_decode_ascii)
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:62(__init__)
        1    0.000    0.000    0.001    0.001 morestats.py:1(<module>)
      100    0.000    0.000    0.001    0.000 typing.py:608(__init__)
        1    0.000    0.000    0.001    0.001 linecache.py:6(<module>)
      627    0.001    0.000    0.001    0.000 {method 'fill_' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 _linprog_highs.py:14(<module>)
     1215    0.001    0.000    0.001    0.000 {built-in method torch._C._log_api_usage_once}
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
      229    0.001    0.000    0.001    0.000 enum.py:841(__and__)
       11    0.000    0.000    0.001    0.000 decorator.py:177(create)
     1368    0.001    0.000    0.001    0.000 {built-in method binascii.b2a_base64}
        1    0.000    0.000    0.001    0.001 datasets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:24(<module>)
     5500    0.001    0.000    0.001    0.000 enum.py:531(__new__)
        1    0.000    0.000    0.001    0.001 _distn_infrastructure.py:5(<module>)
        1    0.000    0.000    0.001    0.001 qconfig.py:1(<module>)
        6    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
     4065    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
     2634    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1520    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
       24    0.000    0.000    0.001    0.000 parser.py:427(parse_block_mapping_key)
        1    0.000    0.000    0.001    0.001 fitpack.py:1(<module>)
        1    0.000    0.000    0.001    0.001 typing.py:19(<module>)
        2    0.000    0.000    0.001    0.001 _helper.py:1(<module>)
       26    0.000    0.000    0.001    0.000 _backend.py:225(get_defaults)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
    13613    0.001    0.000    0.001    0.000 {method 'items' of 'collections.OrderedDict' objects}
     3625    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
        1    0.000    0.000    0.001    0.001 serialization.py:1(<module>)
      348    0.001    0.000    0.001    0.000 enum.py:71(__setitem__)
       31    0.000    0.000    0.001    0.000 _base.py:56(__set_name__)
     2259    0.001    0.000    0.001    0.000 types.py:164(__get__)
       30    0.000    0.000    0.001    0.000 __init__.py:652(__init__)
     9601    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 _distributions.py:1(<module>)
      912    0.001    0.000    0.001    0.000 linalg.py:102(get_linalg_error_extobj)
     5645    0.001    0.000    0.001    0.000 tensor.py:464(__hash__)
       30    0.000    0.000    0.001    0.000 _collections_abc.py:824(update)
        7    0.000    0.000    0.001    0.000 nonlin.py:1610(_nonlin_wrapper)
     1721    0.001    0.000    0.001    0.000 {method 'tell' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 constructor.py:3(<module>)
      924    0.001    0.000    0.001    0.000 {built-in method builtins.round}
        9    0.000    0.000    0.001    0.000 decorator.py:200(decorate)
        1    0.000    0.000    0.001    0.001 spawn.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5806(_makeTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5843(makeHTMLTags)
     1129    0.001    0.000    0.001    0.000 {built-in method _has_compatible_shallow_copy_type}
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.001    0.001 radon_transform.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
     9601    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       12    0.000    0.000    0.001    0.000 artist.py:1273(<listcomp>)
        1    0.000    0.000    0.001    0.001 bernoulli.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:29(<module>)
        1    0.000    0.000    0.001    0.001 basic.py:7(<module>)
        2    0.000    0.000    0.001    0.001 activation.py:1(<module>)
       10    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
     3415    0.001    0.000    0.001    0.000 __init__.py:259(__exit__)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:3(<module>)
        1    0.000    0.000    0.001    0.001 distance.py:72(<module>)
     1199    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.001    0.001 tensor.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dates.py:149(<module>)
     1528    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
       23    0.000    0.000    0.001    0.000 overrides.py:206(decorator)
        1    0.000    0.000    0.001    0.001 constructor.py:171(SafeConstructor)
      195    0.000    0.000    0.001    0.000 init.py:137(zeros_)
       13    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
      425    0.000    0.000    0.001    0.000 artist.py:1363(aliased_name)
     6173    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3049    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     1702    0.001    0.000    0.001    0.000 {method 'pixel_access' of 'ImagingCore' objects}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fractions.py:4(<module>)
       33    0.000    0.000    0.001    0.000 pooling.py:15(__init__)
       66    0.000    0.000    0.001    0.000 pyparsing.py:2138(__add__)
        1    0.000    0.000    0.001    0.001 tz.py:9(<module>)
      585    0.001    0.000    0.001    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 _product.py:1(<module>)
      666    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.001    0.001 texmanager.py:28(<module>)
        1    0.000    0.000    0.001    0.001 dviread.py:18(<module>)
       20    0.000    0.000    0.001    0.000 pyparsing.py:4686(parseImpl)
      410    0.000    0.000    0.001    0.000 copy.py:269(_reconstruct)
      180    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       56    0.000    0.000    0.001    0.000 __init__.py:774(_open_file_or_url)
       26    0.000    0.000    0.001    0.000 pickle.py:718(save_bytes)
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1835(_parseCache)
        1    0.000    0.000    0.001    0.001 _linprog_util.py:3(<module>)
       66    0.001    0.000    0.001    0.000 {built-in method io.open}
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._c10d_init}
      279    0.000    0.000    0.001    0.000 _signatures.py:596(num_pos_args)
       32    0.000    0.000    0.001    0.000 contextlib.py:107(__enter__)
        1    0.000    0.000    0.001    0.001 compatibility.py:1(<module>)
       17    0.000    0.000    0.001    0.000 parser.py:446(parse_block_mapping_value)
     3278    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      195    0.000    0.000    0.001    0.000 init.py:27(_no_grad_zero_)
        1    0.000    0.000    0.001    0.001 _marching_cubes_lewiner.py:1(<module>)
     1446    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
      165    0.000    0.000    0.001    0.000 _dtype.py:321(_name_get)
        1    0.001    0.001    0.001    0.001 optimizer.py:176(add_param_group)
      474    0.001    0.000    0.001    0.000 function_base.py:2048(__init__)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:22(<module>)
     1770    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
     2426    0.001    0.000    0.001    0.000 module.py:891(<lambda>)
        1    0.000    0.000    0.001    0.001 __init__.py:52(<module>)
        6    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
     2866    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 local.py:106(<module>)
      876    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.001    0.000 simple_metrics.py:1(<module>)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:52(decorator)
     1738    0.001    0.000    0.001    0.000 inspect.py:504(_is_wrapper)
        1    0.000    0.000    0.001    0.001 backend_agg.py:22(<module>)
        2    0.000    0.000    0.001    0.000 pyparsing.py:5679(srange)
        1    0.000    0.000    0.001    0.001 _threadsafety.py:1(<module>)
       17    0.000    0.000    0.001    0.000 deprecation.py:416(_make_keyword_only)
     4798    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.001    0.001 _ode.py:39(<module>)
        1    0.000    0.000    0.001    0.001 dumper.py:2(<module>)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:41(decorate)
        1    0.000    0.000    0.001    0.001 backend_tools.py:12(<module>)
       64    0.001    0.000    0.001    0.000 {built-in method cupy.core._kernel.create_ufunc}
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
     6619    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     9815    0.001    0.000    0.001    0.000 inspect.py:2529(kind)
      195    0.001    0.000    0.001    0.000 {built-in method ones}
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:5(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
       17    0.001    0.000    0.001    0.000 cycler.py:349(by_key)
      373    0.000    0.000    0.001    0.000 {built-in method builtins.all}
     7483    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.001    0.001 codata.py:1510(parse_constants_2018toXXXX)
     3598    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     5780    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        1    0.000    0.000    0.001    0.001 path.py:10(<module>)
       78    0.000    0.000    0.001    0.000 pickle.py:943(save_global)
        1    0.000    0.000    0.001    0.001 gumbel.py:1(<module>)
     2077    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.001    0.001 matfuncs.py:5(<module>)
        1    0.000    0.000    0.001    0.001 arpack.py:7(<module>)
      733    0.000    0.000    0.001    0.000 typing.py:709(__setattr__)
     1702    0.001    0.000    0.001    0.000 ImageFile.py:79(_tilesort)
      107    0.000    0.000    0.001    0.000 inspect.py:535(_finddoc)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
        2    0.000    0.000    0.001    0.000 linear_relu.py:1(<module>)
     1199    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:884(__init__)
     1862    0.001    0.000    0.001    0.000 module.py:579(remove_from)
     7858    0.001    0.000    0.001    0.000 inspect.py:2517(name)
     4560    0.001    0.000    0.001    0.000 shape_base.py:52(_take_along_axis_dispatcher)
      170    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.001    0.001 std.py:9(<module>)
        1    0.000    0.000    0.001    0.001 connection.py:10(<module>)
        1    0.000    0.000    0.001    0.001 _generator.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scale.py:8(<module>)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
      251    0.001    0.000    0.001    0.000 init.py:32(calculate_gain)
        1    0.000    0.000    0.001    0.001 _regionprops.py:977(_install_properties_docs)
       27    0.000    0.000    0.001    0.000 enum.py:182(<setcomp>)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
     4042    0.001    0.000    0.001    0.000 {built-in method torch._C.is_grad_enabled}
        1    0.000    0.000    0.001    0.001 figure.py:220(Figure)
      228    0.001    0.000    0.001    0.000 inspect.py:2020(RewriteSymbolics)
    33/20    0.000    0.000    0.001    0.000 typing.py:340(__getitem__)
      265    0.000    0.000    0.001    0.000 inspect.py:1837(_signature_is_functionlike)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
        1    0.000    0.000    0.001    0.001 _binned_statistic.py:1(<module>)
      480    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 polynomial.py:74(<module>)
        1    0.000    0.000    0.001    0.001 _regionprops.py:965(_parse_docs)
        1    0.000    0.000    0.001    0.001 afm.py:36(<module>)
     1579    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.001    0.001 cyaml.py:3(<module>)
     5149    0.001    0.000    0.001    0.000 {built-in method torch._C._cuda_getDeviceCount}
       12    0.000    0.000    0.001    0.000 __init__.py:1852(_define_aliases)
     1520    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
      912    0.001    0.000    0.001    0.000 linalg.py:188(_assert_2d)
        1    0.000    0.000    0.001    0.001 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _recursive.py:1(<module>)
        1    0.000    0.000    0.001    0.001 signaltools.py:4(<module>)
      441    0.001    0.000    0.001    0.000 enum.py:381(__setattr__)
     4193    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _multilevel.py:9(<module>)
       20    0.000    0.000    0.001    0.000 pyparsing.py:4847(parseImpl)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.001    0.001 _map_array.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _warps.py:1(<module>)
        1    0.000    0.000    0.001    0.001 generic.py:49(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 corner.py:1(<module>)
      310    0.000    0.000    0.001    0.000 _signatures.py:603(get_exclude_keywords)
        1    0.000    0.000    0.001    0.001 least_squares.py:1(<module>)
      225    0.000    0.000    0.001    0.000 posixpath.py:75(join)
       18    0.000    0.000    0.001    0.000 basic.py:895(inv)
        1    0.000    0.000    0.001    0.001 _skeletonize.py:3(<module>)
        1    0.000    0.000    0.001    0.001 ticker.py:167(<module>)
    24/12    0.000    0.000    0.001    0.000 pyparsing.py:4249(parseImpl)
        1    0.000    0.000    0.001    0.001 equality_constrained_sqp.py:1(<module>)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3870(__init__)
     3197    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 _remove_redundancy.py:4(<module>)
     1008    0.000    0.000    0.001    0.000 colors.py:266(<genexpr>)
        1    0.000    0.000    0.001    0.001 basic.py:3(<module>)
      920    0.001    0.000    0.001    0.000 {built-in method numpy.promote_types}
      358    0.001    0.000    0.001    0.000 _util.py:312(<listcomp>)
        1    0.000    0.000    0.001    0.001 constraint_registry.py:66(<module>)
        1    0.000    0.000    0.001    0.001 _sspumv.py:6(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        1    0.000    0.000    0.001    0.001 unwrap.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _secondary_axes.py:37(SecondaryAxis)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.000    0.000    0.001    0.001 _trustregion_krylov.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cloudpickle.py:42(<module>)
       77    0.000    0.000    0.001    0.000 _dtype.py:34(__str__)
        1    0.000    0.000    0.001    0.001 hashing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
        1    0.000    0.000    0.001    0.001 lsq_linear.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gridspec.py:10(<module>)
       11    0.000    0.000    0.001    0.000 decorator.py:144(make)
        1    0.000    0.000    0.001    0.001 measurements.py:31(<module>)
      471    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.001    0.001 transforms.py:30(<module>)
        1    0.000    0.000    0.001    0.001 kdtree.py:3(<module>)
     3907    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
       11    0.000    0.000    0.001    0.000 decorator.py:75(__init__)
       63    0.000    0.000    0.001    0.000 colors.py:829(reversed)
        1    0.000    0.000    0.001    0.001 decorator.py:33(<module>)
        1    0.000    0.000    0.001    0.001 dataclasses.py:1(<module>)
     1702    0.001    0.000    0.001    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
      151    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.001    0.001 coroutines.py:1(<module>)
      754    0.000    0.000    0.001    0.000 pickle.py:464(put)
     2736    0.001    0.000    0.001    0.000 dims.py:11(<lambda>)
     3433    0.001    0.000    0.001    0.000 {built-in method torch._C._cuda_isDriverSufficient}
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
     2197    0.000    0.000    0.001    0.000 pickle.py:225(write)
     1277    0.001    0.000    0.001    0.000 functools.py:67(wraps)
        1    0.000    0.000    0.001    0.001 functoolz.py:1(<module>)
       46    0.000    0.000    0.001    0.000 scanner.py:752(scan_to_next_token)
       28    0.000    0.000    0.001    0.000 scanner.py:668(fetch_plain)
      190    0.000    0.000    0.001    0.000 os.py:676(__getitem__)
      350    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
     1446    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
      375    0.000    0.000    0.001    0.000 sre_parse.py:343(_escape)
     1368    0.001    0.000    0.001    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
      623    0.000    0.000    0.001    0.000 posixpath.py:64(isabs)
        1    0.000    0.000    0.001    0.001 data_parallel.py:1(<module>)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
     3042    0.001    0.000    0.001    0.000 multiarray.py:468(can_cast)
      242    0.000    0.000    0.001    0.000 tokenize.py:380(find_cookie)
       20    0.000    0.000    0.001    0.000 typing.py:626(__getitem__)
       18    0.000    0.000    0.001    0.000 pyparsing.py:4779(parseImpl)
       16    0.000    0.000    0.001    0.000 upsampling.py:119(__init__)
        2    0.000    0.000    0.001    0.000 basic.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _torch_docs.py:1(<module>)
       84    0.000    0.000    0.001    0.000 deprecation.py:222(finalize)
        1    0.000    0.000    0.001    0.001 hashlib.py:54(<module>)
        1    0.000    0.000    0.001    0.001 lil.py:2(<module>)
        1    0.000    0.000    0.001    0.001 _base.py:6(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:4(<module>)
       37    0.000    0.000    0.001    0.000 __init__.py:1928(getLogger)
        1    0.000    0.000    0.001    0.001 texmanager.py:47(TexManager)
     4042    0.001    0.000    0.001    0.000 {built-in method torch._C.set_grad_enabled}
     1601    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1824    0.001    0.000    0.001    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
      256    0.000    0.000    0.001    0.000 npyio.py:1067(<listcomp>)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
       82    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 polar.py:1(<module>)
       44    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._cuda_init}
  513/257    0.000    0.000    0.001    0.000 _internal.py:872(__call__)
     5729    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       84    0.000    0.000    0.000    0.000 compiler.py:569(is_valid_kernel_name)
     1525    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
